# Residuals   
# Time        	p             	Ux            	Uy            
46.7          	2.603200e-03	4.911241e-04	3.133552e-04
46.8          	2.315966e-03	4.883932e-04	3.115803e-04
46.9          	2.117272e-03	4.857631e-04	3.102470e-04
47            	1.906041e-03	4.833387e-04	3.084766e-04
47.1          	1.749567e-03	4.808037e-04	3.072584e-04
47.2          	1.582894e-03	4.783932e-04	3.055279e-04
47.3          	1.471632e-03	4.759409e-04	3.043768e-04
47.4          	1.340078e-03	4.735503e-04	3.027200e-04
47.5          	1.238009e-03	4.711747e-04	3.015780e-04
47.6          	1.124633e-03	4.688261e-04	2.999688e-04
47.7          	1.045998e-03	4.667314e-04	2.988170e-04
47.8          	9.680990e-04	4.644315e-04	2.972838e-04
